Date,ProductID,SalesRepID,Units
1/14/23,3,2,107
1/18/23,4,2,101
1/21/23,2,2,291
1/25/23,2,2,3
1/26/23,2,1,196
2/1/23,2,4,71
2/11/23,3,4,225
2/13/23,3,2,125
2/14/23,3,2,89
2/15/23,2,4,96
2/16/23,4,2,68
2/20/23,4,2,264
2/20/23,2,2,158
2/25/23,3,3,150
3/1/23,2,4,242
3/9/23,1,2,69
3/10/23,2,4,105
3/30/23,2,2,45
4/1/23,1,1,185
4/4/23,2,2,6
4/8/23,4,3,5
4/9/23,2,2,4
4/13/23,2,4,4
4/13/23,2,2,174
4/16/23,2,2,1
4/17/23,2,4,105
4/20/23,2,3,63
4/20/23,1,3,4
4/22/23,4,2,282
4/23/23,2,4,186
4/26/23,3,3,114
4/29/23,4,4,73
4/30/23,2,2,210
4/30/23,2,4,174
5/2/23,2,4,128
5/3/23,4,4,6
5/6/23,4,4,4
5/8/23,2,2,5
5/10/23,4,3,110
5/11/23,1,4,1
5/16/23,2,1,3
5/17/23,2,4,75
5/25/23,2,2,56
5/25/23,2,2,109
5/28/23,1,2,123
6/6/23,2,2,81
6/15/23,1,1,4
6/17/23,4,4,1
6/19/23,2,4,101
6/26/23,1,4,6
7/1/23,4,4,80
7/2/23,4,4,74
7/3/23,2,2,5
7/7/23,2,2,88
7/8/23,2,2,159
7/16/23,2,3,115
7/19/23,3,3,91
7/20/23,2,2,114
7/21/23,2,2,107
7/23/23,2,4,27
7/24/23,4,4,131
7/24/23,2,4,3
7/25/23,3,2,144
7/27/23,2,4,2
7/28/23,2,2,4
8/4/23,2,4,97
8/4/23,2,2,82
8/6/23,2,2,78
8/8/23,2,4,223
8/8/23,4,4,18
8/10/23,2,3,1
8/13/23,2,2,284
8/14/23,2,2,92
8/15/23,1,2,6
8/18/23,4,4,5
8/22/23,3,2,212
8/23/23,2,4,1
8/23/23,2,4,160
8/25/23,3,2,3
9/1/23,2,4,5
9/3/23,2,4,5
9/5/23,2,4,119
9/5/23,2,4,6
9/5/23,2,4,51
9/7/23,2,4,2
9/12/23,4,2,292
9/12/23,2,2,93
9/15/23,4,4,79
9/15/23,4,2,43
9/16/23,2,4,4
9/21/23,2,4,242
9/23/23,2,4,28
9/23/23,2,4,115
9/24/23,2,2,131
9/29/23,2,1,251
9/30/23,2,3,2
9/30/23,2,4,266
10/4/23,2,2,71
10/4/23,2,4,57
10/5/23,2,4,3
10/6/23,2,4,84
10/6/23,1,2,209
10/9/23,2,2,70
10/11/23,2,4,106
10/13/23,1,1,83
10/13/23,2,2,77
10/19/23,2,2,109
10/20/23,2,2,280
10/21/23,2,2,275
10/21/23,2,4,11
10/22/23,1,2,4
10/22/23,2,2,15
10/22/23,2,4,248
10/24/23,4,2,62
10/25/23,3,4,201
10/26/23,1,4,83
10/26/23,2,4,137
10/28/23,2,2,78
10/29/23,2,2,103
10/30/23,3,2,54
10/31/23,3,2,74
10/31/23,2,4,69
11/2/23,2,1,116
11/3/23,2,2,242
11/3/23,1,2,74
11/4/23,2,4,141
11/6/23,2,2,75
11/6/23,2,3,91
11/8/23,1,2,73
11/8/23,2,1,6
11/8/23,3,4,210
11/8/23,2,1,89
11/9/23,1,4,286
11/10/23,2,4,6
11/10/23,2,3,107
11/10/23,2,2,83
11/10/23,4,3,134
11/11/23,1,2,120
11/11/23,2,4,126
11/12/23,2,2,126
11/13/23,2,3,183
11/13/23,1,2,81
11/14/23,4,1,6
11/14/23,4,2,32
11/14/23,1,3,185
11/17/23,4,2,84
11/17/23,2,3,75
11/17/23,4,1,94
11/18/23,2,4,183
11/20/23,2,3,68
11/21/23,4,4,1
11/21/23,4,4,93
11/21/23,2,2,6
11/22/23,2,4,73
11/23/23,1,2,6
11/23/23,2,4,31
11/24/23,2,2,6
11/24/23,2,4,1
11/25/23,3,2,48
11/26/23,2,3,107
11/27/23,2,4,89
11/27/23,1,4,115
11/28/23,2,1,95
11/28/23,2,2,59
12/1/23,2,4,83
12/2/23,2,2,74
12/3/23,3,4,234
12/4/23,2,2,283
12/5/23,2,2,5
12/6/23,3,4,5
12/9/23,2,2,3
12/10/23,4,2,3
12/10/23,2,4,194
12/10/23,2,1,3
12/11/23,2,1,1
12/12/23,1,4,94
12/12/23,2,2,291
12/13/23,2,3,110
12/13/23,2,2,280
12/13/23,3,4,2
12/14/23,1,2,101
12/14/23,2,2,89
12/14/23,2,4,93
12/15/23,2,4,3
12/15/23,2,4,289
12/17/23,3,2,101
12/17/23,4,4,6
12/17/23,3,4,47
12/19/23,2,2,80
12/19/23,2,4,5
12/20/23,3,4,107
12/22/23,2,4,286
12/22/23,2,2,247
12/22/23,4,4,37
12/23/23,4,3,147
12/23/23,2,2,122
12/24/23,3,4,1
12/25/23,1,2,56
12/27/23,2,2,4
12/28/23,2,4,87
12/30/23,2,2,141
12/30/23,3,4,94
12/31/23,2,4,109
